['590', '652', '710', '424', '611']
['298', '407', '973', '222', '510']
['158', '876', '708', '738', '775']
['405', '833', '856', '888', '755']
['355', '177', '453', '495', '387']
['786', '613', '412', '379', '946']
['17', '637', '968', '600', '253']
['861', '735', '366', '874', '581']
['763', '64', '136', '327', '48']
['957', '785', '302', '852', '490']
['425', '357', '5', '585', '731']
['701', '645', '783', '1', '268']
['770', '307', '962', '615', '273']
['59', '799', '181', '127', '760']
['2', '446', '802', '220', '464']
['114', '933', '34', '976', '372']
['925', '7', '487', '221', '481']
['498', '796', '365', '711', '964']
['339', '6', '96', '50', '73']
['997', '25', '911', '347', '184']
['919', '586', '269', '27', '439']
['718', '259', '999', '548', '787']
['139', '513', '559', '196', '790']
['476', '727', '12', '501', '614']
['26', '602', '131', '872', '91']
['695', '535', '153', '60', '300']
['318', '243', '460', '694', '644']
['47', '705', '248', '678', '322']
['784', '522', '801', '369', '596']
['869', '582', '823', '434', '913']
['94', '974', '864', '621', '179']
['813', '725', '104', '165', '406']
['86', '188', '822', '132', '236']
['288', '681', '478', '952', '200']
['774', '76', '531', '743', '893']
['945', '428', '985', '867', '825']
['101', '907', '246', '503', '310']
['88', '99', '480', '23', '954']
['824', '389', '840', '386', '191']
['516', '870', '370', '433', '145']
['316', '970', '778', '285', '250']
['653', '552', '722', '394', '773']
['398', '880', '892', '209', '549']
['851', '712', '182', '172', '782']
['511', '358', '461', '758', '764']
['703', '879', '448', '821', '345']
['723', '293', '497', '908', '960']
['826', '819', '37', '98', '180']
['150', '166', '54', '173', '890']
['965', '800', '860', '115', '519']
['944', '33', '688', '456', '726']
['83', '526', '573', '566', '865']
['155', '500', '953', '987', '768']
['258', '956', '832', '147', '929']
['70', '40', '640', '563', '138']
['942', '87', '935', '807', '584']
['612', '897', '570', '21', '296']
['587', '745', '467', '875', '855']
['966', '224', '85', '486', '616']
['684', '636', '176', '538', '829']
['700', '724', '167', '761', '528']
['971', '793', '777', '242', '868']
['226', '983', '335', '463', '377']
['171', '0', '186', '992', '146']
['608', '638', '809', '457', '595']
['597', '619', '926', '330', '56']
['980', '244', '836', '72', '437']
['18', '579', '881', '385', '187']
['886', '709', '936', '470', '215']
['877', '991', '958', '286', '683']
['805', '164', '395', '349', '634']
['254', '618', '163', '178', '489']
['882', '534', '260', '112', '671']
['561', '241', '666', '142', '811']
['746', '853', '63', '572', '977']
['265', '458', '256', '417', '249']
['230', '898', '117', '828', '388']
['195', '934', '707', '197', '903']
['932', '812', '443', '847', '546']
['190', '670', '607', '547', '275']
['374', '502', '271', '601', '350']
['574', '667', '659', '475', '927']
['66', '219', '409', '633', '883']
['36', '730', '452', '290', '550']
['996', '185', '594', '384', '251']
['975', '303', '410', '9', '529']
['342', '204', '418', '202', '445']
['473', '827', '92', '212', '857']
['161', '631', '233', '509', '103']
['571', '757', '284', '333', '677']
['887', '556', '923', '900', '119']
['791', '776', '661', '654', '842']
['896', '593', '162', '245', '955']
['68', '669', '949', '627', '466']
['225', '553', '554', '717', '201']
['97', '866', '324', '81', '356']
['404', '742', '567', '38', '604']
['505', '326', '402', '981', '524']
['30', '247', '413', '499', '113']
['747', '576', '993', '998', '471']
['421', '690', '352', '737', '217']
['71', '504', '762', '650', '295']
['321', '239', '569', '336', '130']
['459', '858', '13', '121', '205']
['647', '263', '544', '830', '846']
['635', '329', '332', '154', '376']
['362', '859', '685', '810', '270']
['479', '749', '483', '140', '702']
['620', '814', '565', '560', '281']
['170', '380', '14', '941', '950']
['512', '831', '623', '905', '451']
['442', '788', '109', '704', '231']
['234', '125', '133', '341', '218']
['43', '450', '698', '839', '42']
['922', '540', '523', '20', '978']
['699', '656', '229', '55', '984']
['315', '278', '44', '216', '780']
['364', '415', '338', '414', '931']
['626', '319', '759', '431', '841']
['517', '527', '789', '105', '373']
['916', '988', '884', '289', '689']
['642', '383', '255', '696', '562']
['240', '588', '294', '277', '837']
