['802', '383', '434', '821', '505', '753', '426', '69', '857', '187']
['589', '580', '219', '421', '509', '353', '331', '296', '890', '275']
['686', '445', '921', '376', '634', '641', '871', '777', '265', '675']
['2', '698', '817', '877', '572', '333', '988', '613', '359', '878']
['859', '432', '565', '218', '107', '640', '337', '334', '913', '83']
['970', '416', '909', '202', '562', '372', '453', '862', '254', '482']
['213', '957', '500', '131', '534', '80', '144', '50', '950', '279']
['516', '893', '995', '138', '680', '270', '651', '95', '653', '791']
['940', '203', '524', '93', '274', '586', '463', '148', '470', '918']
['244', '301', '223', '34', '1', '318', '882', '160', '676', '280']
['54', '766', '830', '293', '226', '847', '845', '473', '170', '206']
['404', '286', '683', '190', '13', '992', '962', '362', '943', '696']
['976', '343', '558', '813', '467', '345', '934', '932', '768', '665']
['232', '98', '425', '569', '556', '352', '969', '294', '774', '780']
['43', '875', '887', '806', '636', '139', '543', '666', '529', '129']
['355', '132', '51', '619', '622', '744', '469', '679', '922', '699']
['78', '137', '702', '577', '486', '626', '483', '734', '145', '837']
['159', '607', '422', '346', '189', '71', '873', '496', '547', '104']
['73', '298', '605', '152', '242', '778', '252', '807', '924', '462']
['182', '210', '55', '204', '727', '370', '161', '561', '9', '609']
['306', '478', '388', '523', '267', '758', '168', '542', '348', '733']
['968', '399', '490', '843', '74', '106', '249', '243', '186', '627']
['885', '740', '930', '300', '874', '410', '192', '122', '880', '555']
['803', '303', '551', '781', '424', '412', '701', '592', '751', '438']
['596', '747', '79', '881', '630', '394', '849', '391', '947', '601']
['800', '5', '994', '282', '56', '384', '484', '911', '19', '958']
['717', '879', '532', '125', '854', '373', '540', '220', '678', '295']
['369', '112', '618', '423', '674', '661', '682', '812', '541', '418']
['258', '841', '608', '196', '461', '966', '409', '472', '838', '834']
['16', '745', '996', '728', '681', '633', '664', '647', '197', '794']
['100', '127', '313', '590', '367', '217', '39', '489', '514', '428']
['271', '230', '538', '506', '798', '45', '312', '570', '390', '729']
['850', '157', '667', '851', '672', '835', '610', '411', '276', '933']
['867', '315', '848', '398', '25', '172', '88', '735', '91', '784']
['14', '869', '408', '449', '528', '656', '987', '997', '904', '973']
['99', '12', '209', '842', '200', '30', '111', '339', '559', '21']
['638', '743', '865', '70', '140', '870', '349', '113', '191', '671']
['142', '431', '721', '736', '787', '816', '703', '917', '669', '637']
['0', '573', '395', '915', '707', '891', '40', '670', '231', '28']
['61', '508', '926', '342', '537', '903', '793', '687', '646', '692']
['690', '844', '385', '169', '823', '952', '272', '550', '246', '193']
['302', '710', '235', '101', '151', '325', '741', '262', '611', '748']
['72', '429', '441', '171', '658', '117', '284', '371', '466', '316']
['277', '309', '344', '719', '4', '224', '826', '725', '201', '684']
['563', '327', '548', '771', '860', '454', '92', '706', '497', '965']
