['428', '52', '702', '49', '307', '548', '197', '448', '814', '161', '983', '434', '738', '749', '48', '56', '907', '47', '751', '304']
['158', '314', '811', '198', '857', '801', '117', '233', '859', '693', '260', '31', '744', '40', '707', '134', '554', '649', '521', '506']
['99', '927', '416', '369', '750', '73', '177', '992', '650', '781', '606', '881', '249', '350', '631', '425', '530', '398', '242', '464']
['825', '915', '925', '570', '893', '830', '819', '402', '64', '533', '295', '133', '763', '839', '44', '447', '121', '8', '879', '480']
['832', '658', '267', '433', '563', '171', '961', '63', '185', '403', '122', '647', '795', '20', '905', '273', '251', '929', '209', '95']
['195', '224', '734', '280', '444', '124', '212', '813', '227', '623', '78', '989', '120', '399', '458', '406', '220', '319', '544', '591']
['528', '914', '146', '740', '747', '365', '549', '885', '662', '328', '659', '715', '288', '880', '670', '543', '317', '475', '382', '741']
['743', '526', '923', '228', '132', '81', '802', '610', '684', '752', '282', '924', '697', '504', '952', '592', '878', '275', '731', '559']
['937', '596', '422', '787', '421', '257', '614', '705', '342', '950', '911', '667', '290', '345', '732', '214', '436', '678', '269', '985']
['442', '356', '479', '639', '733', '250', '239', '619', '575', '128', '736', '0', '57', '427', '497', '301', '761', '330', '572', '737']
['686', '627', '142', '824', '708', '172', '933', '129', '514', '453', '283', '634', '426', '5', '720', '131', '232', '524', '860', '967']
['173', '340', '368', '385', '537', '841', '253', '753', '975', '777', '518', '601', '999', '125', '948', '970', '162', '775', '318', '574']
['207', '711', '90', '109', '838', '962', '32', '291', '118', '803', '959', '793', '780', '80', '609', '651', '652', '496', '238', '87']
['74', '181', '9', '10', '800', '612', '770', '34', '336', '459', '321', '218', '4', '546', '204', '337', '191', '818', '222', '515']
['938', '168', '823', '921', '219', '130', '772', '974', '853', '865', '21', '394', '320', '755', '481', '468', '920', '294', '931', '657']
['864', '858', '713', '901', '799', '687', '343', '597', '875', '936', '984', '221', '358', '401', '700', '70', '487', '284', '380', '313']
['836', '994', '821', '190', '408', '363', '26', '309', '390', '467', '339', '359', '316', '971', '776', '431', '377', '826', '325', '62']
['897', '706', '42', '894', '679', '709', '362', '569', '912', '919', '722', '673', '111', '371', '884', '22', '783', '169', '500', '245']
['552', '955', '951', '808', '842', '268', '452', '624', '512', '341', '742', '189', '199', '450', '604', '851', '217', '105', '674', '364']
['688', '379', '430', '660', '374', '338', '573', '784', '361', '863', '531', '175', '909', '817', '360', '505', '656', '523', '440', '682']
['247', '463', '323', '655', '265', '370', '672', '194', '681', '163', '845', '564', '960', '18', '991', '409', '944', '277', '179', '84']
['888', '538', '633', '671', '551', '820', '308', '525', '397', '246', '39', '61', '110', '100', '85', '689', '135', '913', '367', '332']
['840', '788', '471', '462', '230', '695', '979', '718', '456', '508', '94', '226', '739', '873', '869', '372', '93', '112', '392', '312']
['141', '602', '794', '843', '577', '478', '712', '138', '617', '72', '256', '140', '588', '461', '926', '778', '17', '435', '103', '264']
['632', '306', '593', '789', '856', '413', '333', '978', '536', '213', '38', '519', '28', '71', '234', '981', '166', '635', '779', '335']
['86', '439', '676', '791', '474', '236', '868', '184', '351', '527', '645', '963', '495', '871', '605', '126', '615', '58', '183', '60']
['50', '532', '255', '92', '600', '300', '995', '470', '767', '764', '489', '785', '395', '355', '866', '529', '296', '890', '167', '66']
['225', '411', '465', '114', '916', '443', '417', '774', '993', '703', '391', '558', '748', '729', '33', '261', '383', '934', '956', '805']
['566', '3', '77', '14', '898', '696', '424', '642', '437', '587', '831', '494', '966', '643', '935', '407', '629', '904', '498', '54']
