['746', '192', '251']
['289', '295', '803']
['268', '167', '301']
['726', '507', '602']
['577', '161', '26']
['588', '730', '215']
['46', '86', '342']
['877', '140', '618']
['472', '95', '152']
['277', '105', '28']
['711', '259', '844']
['408', '945', '380']
['850', '84', '461']
['568', '238', '392']
['956', '153', '687']
['967', '155', '62']
['325', '378', '383']
['693', '468', '56']
['518', '769', '396']
['864', '356', '198']
['827', '434', '21']
['581', '200', '908']
['814', '296', '599']
['128', '318', '148']
['270', '720', '910']
['761', '596', '592']
['453', '134', '425']
['338', '6', '469']
['543', '406', '575']
['784', '521', '926']
['583', '184', '232']
['25', '664', '900']
['831', '875', '234']
['946', '94', '950']
['399', '620', '809']
['344', '723', '252']
['798', '435', '702']
['561', '10', '132']
['133', '608', '20']
['330', '63', '992']
['16', '918', '756']
['895', '92', '807']
['652', '247', '607']
['722', '177', '853']
['442', '286', '736']
['548', '363', '382']
['845', '546', '686']
['179', '426', '431']
['860', '683', '763']
['598', '535', '973']
['659', '135', '433']
['919', '674', '265']
['423', '170', '287']
['379', '206', '202']
['143', '82', '87']
['899', '961', '209']
['573', '871', '48']
['977', '362', '937']
['229', '114', '597']
['571', '64', '90']
['254', '197', '244']
['12', '503', '27']
['108', '856', '788']
['685', '696', '739']
['18', '377', '987']
['731', '88', '541']
['129', '873', '527']
['3', '317', '617']
['99', '609', '0']
['820', '718', '405']
['271', '915', '851']
['389', '250', '923']
['350', '481', '765']
['428', '986', '551']
['925', '261', '41']
['308', '75', '828']
['309', '290', '591']
['352', '323', '846']
['220', '953', '777']
['729', '701', '249']
['281', '978', '292']
['19', '931', '897']
['669', '794', '995']
['738', '570', '444']
['30', '792', '464']
['869', '677', '523']
['563', '932', '171']
['775', '274', '158']
['848', '299', '360']
['716', '920', '331']
['445', '705', '485']
['236', '957', '881']
['51', '662', '725']
['447', '552', '2']
['743', '67', '40']
['962', '861', '811']
['32', '50', '486']
['340', '310', '496']
['849', '53', '456']
['754', '52', '390']
['841', '748', '515']
['282', '475', '933']
['5', '402', '737']
['614', '627', '488']
['522', '637', '742']
['647', '498', '526']
['774', '857', '211']
['675', '466', '994']
['1', '672', '636']
['168', '415', '605']
['73', '314', '307']
['164', '604', '358']
['611', '104', '300']
['248', '473', '393']
['796', '35', '91']
['146', '565', '275']
['189', '401', '514']
['808', '451', '776']
['682', '162', '698']
['327', '724', '699']
['691', '414', '519']
['191', '717', '801']
['630', '47', '15']
['744', '430', '368']
['181', '283', '305']
['387', '500', '524']
['235', '539', '941']
['397', '610', '955']
['410', '793', '902']
['840', '553', '335']
['449', '478', '336']
['650', '115', '713']
['580', '826', '863']
['673', '768', '740']
['385', '226', '139']
['667', '878', '852']
['799', '540', '968']
['615', '219', '834']
['569', '593', '996']
['74', '989', '329']
['694', '578', '454']
['947', '935', '320']
['772', '661', '31']
['658', '253', '178']
['972', '721', '545']
['137', '882', '386']
['594', '812', '843']
['60', '735', '439']
['394', '121', '825']
['69', '854', '829']
['703', '979', '293']
['905', '89', '734']
['269', '579', '182']
['912', '334', '985']
['411', '147', '681']
['645', '180', '505']
['49', '477', '542']
['795', '903', '66']
['354', '692', '789']
['43', '603', '216']
['762', '531', '668']
['366', '983', '54']
['572', '109', '381']
['474', '417', '884']
['862', '222', '328']
['741', '710', '921']
['909', '479', '462']
['790', '326', '657']
['866', '670', '785']
['142', '879', '646']
['612', '791', '999']
['896', '824', '959']
['33', '706', '376']
['239', '997', '480']
['484', '407', '55']
['520', '893', '628']
['971', '626', '859']
['567', '224', '482']
['306', '441', '939']
['150', '97', '666']
['96', '695', '712']
['241', '842', '437']
['201', '714', '537']
['458', '800', '491']
['660', '11']
['304', '497']
